AvgDailyHours,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,AnnualIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
8.2,13,Very High,Low,Better,High,Good,55,No,Travel_Rarely,Research & Development,14,Master,Life Sciences,Female,Junior,Sales Executive,Single,55380,0,17,0,37,2,36,4,13
8.5,14,Low,Medium,Good,Medium,Good,47,Yes,Non-Travel,Research & Development,1,Below College,Medical,Male,Junior,Research Scientist,Married,57620,1,11,2,10,4,10,9,9
5.6,15,Very High,Very High,Good,High,Good,28,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Junior,Manufacturing Director,Married,25920,1,14,0,5,2,5,0,4
6.1,16,High,Very High,Best,High,Good,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Junior,Healthcare Representative,Married,53460,4,11,0,7,2,5,0,1
5.8,17,Very High,High,Best,Medium,Good,21,No,Travel_Rarely,Research & Development,3,College,Life Sciences,Male,Junior,Laboratory Technician,Single,42130,1,12,3,3,3,3,1,0
10.4,18,Low,Very High,Better,High,Good,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,Male,Junior,Sales Executive,Divorced,41270,2,13,1,15,2,5,0,2
6.2,19,Medium,Medium,Good,Medium,Good,35,No,Travel_Rarely,Sales,7,Master,Life Sciences,Male,Junior,Sales Representative,Divorced,24380,7,16,0,10,5,7,6,2
8.2,20,Low,Low,Better,High,Good,38,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,Junior,Manager,Divorced,68700,1,11,1,8,5,8,7,7
6.7,21,High,Medium,Bad,High,Good,26,No,Travel_Frequently,Research & Development,1,Master,Other,Male,Junior,Laboratory Technician,Divorced,104470,1,18,0,6,3,6,1,4
5.4,22,Low,Medium,Good,Medium,Outstanding,50,No,Travel_Rarely,Sales,8,Master,Life Sciences,Male,Junior,Research Scientist,Divorced,96670,3,23,0,28,2,10,1,6
7.5,23,High,High,Good,High,Good,53,No,Travel_Rarely,Research & Development,11,Master,Life Sciences,Female,Junior,Research Scientist,Married,21480,3,11,0,21,2,5,1,3
6.3,24,Medium,High,Better,Low,Good,42,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,Male,Junior,Manufacturing Director,Married,89260,1,14,0,,4,20,11,6
6.3,25,Medium,Very High,Good,High,Good,29,No,Travel_Frequently,Research & Development,16,Master,Medical,Male,Junior,Laboratory Technician,Single,65130,1,11,1,10,2,10,0,9
8.6,26,Medium,Very High,Better,High,Good,55,No,Travel_Rarely,Research & Development,1,Master,Other,Female,Junior,Research Scientist,Married,67990,3,11,0,12,2,10,0,8
10.1,27,Low,Low,Better,High,Outstanding,26,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Female,Junior,Manager,Married,162910,1,22,0,5,3,5,3,3
6.9,28,Very High,Very High,Better,High,Good,37,No,Travel_Rarely,Sales,5,Below College,Marketing,Male,Junior,Research Scientist,Single,27050,1,11,0,17,2,17,5,7
10.2,29,Very High,High,Bad,Medium,Good,44,Yes,Travel_Frequently,Research & Development,1,College,Medical,Male,Junior,Research Scientist,Divorced,103330,3,14,1,19,2,1,0,0
6,30,Very High,Very High,Better,Medium,Good,38,No,Travel_Rarely,Sales,2,Bachelor,Marketing,Female,Junior,Manager,Divorced,44480,9,12,0,10,3,2,1,2
9.2,31,Low,Medium,Better,Medium,Good,26,Yes,Travel_Rarely,Research & Development,4,Bachelor,Medical,Male,Intermediate,Research Scientist,Divorced,68540,2,11,0,5,5,3,0,2
6.2,32,Very High,Very High,Better,Medium,Good,28,No,Travel_Rarely,Research & Development,7,Bachelor,Other,Male,Junior,Human Resources,Single,96370,1,13,0,5,6,5,0,2
9.4,33,High,Low,Better,High,Good,49,No,Travel_Frequently,Research & Development,1,Below College,Medical,Female,Junior,Research Scientist,Single,35910,9,13,0,22,2,3,1,2
5.8,34,High,Medium,Better,High,Good,36,No,Travel_Rarely,Sales,5,Bachelor,Technical Degree,Male,Intermediate,Sales Executive,Single,54050,4,14,0,10,2,8,7,7
6.1,35,Very High,Medium,Good,High,Good,31,No,Travel_Frequently,Research & Development,9,Master,Medical,Male,Junior,Sales Executive,Divorced,46840,1,16,1,2,4,2,2,2
9.1,36,Very High,Very High,Better,High,Good,26,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,Male,Junior,Manager,Single,157870,1,12,2,8,5,8,7,4
9.3,37,Medium,Very High,Good,High,Good,37,No,Travel_Frequently,Sales,9,Below College,Marketing,Male,Junior,Laboratory Technician,Married,15140,1,14,0,4,3,4,1,2
5.3,38,High,Medium,Best,High,Good,42,No,Travel_Frequently,Sales,2,College,Marketing,Male,Intermediate,Research Director,Married,29560,5,13,0,23,2,20,4,8
5.9,39,High,High,Better,Medium,Good,18,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,Male,Junior,Sales Executive,Single,23350,1,14,2,0,3,0,0,0
7,40,High,Medium,Good,Medium,Good,35,No,Travel_Rarely,Sales,20,College,Life Sciences,Male,Junior,Laboratory Technician,Married,51540,0,19,0,12,2,11,6,9
6.7,41,High,High,Better,Medium,Good,36,No,Travel_Frequently,Research & Development,8,Bachelor,Other,Female,Intermediate,Sales Executive,Married,69620,4,12,2,4,2,1,0,0
6.8,42,Very High,Medium,Better,Medium,Good,51,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,Junior,Laboratory Technician,Divorced,56750,5,13,0,13,2,4,1,2
6.4,43,Very High,Medium,Better,High,Good,41,No,Travel_Rarely,Research & Development,29,Below College,Life Sciences,Male,Junior,Laboratory Technician,Single,23790,1,12,0,22,6,22,0,4
6.4,44,Very High,High,Better,High,Good,18,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,Male,Junior,Research Scientist,Single,38120,1,15,0,0,3,0,0,0
6.7,45,Medium,Low,Better,Medium,Outstanding,28,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,Male,Junior,Sales Representative,Single,46480,0,23,2,9,2,8,0,7
6.6,46,Medium,Very High,Good,High,Good,31,No,Travel_Rarely,Research & Development,8,Below College,Technical Degree,Male,Junior,Manufacturing Director,Married,29360,4,12,1,10,2,8,7,7
6.9,47,High,Very High,Good,High,Outstanding,39,No,Travel_Rarely,Sales,5,Master,Marketing,Female,Junior,Human Resources,Divorced,21050,0,20,0,19,3,18,3,7
7.1,48,Medium,Medium,Better,High,Outstanding,36,No,Non-Travel,Research & Development,5,Master,Life Sciences,Male,Junior,Sales Executive,Married,85780,7,21,0,11,4,9,0,8
6.1,49,Very High,High,Good,High,Outstanding,32,No,Travel_Rarely,Sales,2,Bachelor,Marketing,Male,Junior,Laboratory Technician,Married,27060,1,21,1,13,4,13,4,8
6,50,Low,Medium,Better,Medium,Good,38,No,Travel_Rarely,Research & Development,5,College,Life Sciences,Female,Intermediate,Research Scientist,Married,63840,3,19,2,19,4,10,0,1
10.1,51,Very High,High,Better,Medium,Good,58,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,Junior,Manufacturing Director,Divorced,39680,2,13,2,12,3,5,1,2
8.3,52,High,Very High,Better,Medium,Good,31,No,Travel_Rarely,Research & Development,20,Below College,Technical Degree,Female,Intermediate,Research Scientist,Married,99070,0,13,1,6,3,5,0,3
6.3,53,Low,Low,Better,High,Outstanding,31,No,Travel_Rarely,Sales,7,Master,Marketing,Male,Junior,Sales Executive,Married,132250,3,21,1,9,2,2,1,0
6.6,54,Low,Low,Better,High,Good,45,No,Travel_Frequently,Research & Development,3,Below College,Medical,Female,Junior,Sales Executive,Divorced,35400,1,13,0,24,6,24,9,11
8,55,High,Very High,Bad,High,Good,31,No,Travel_Rarely,Sales,16,Master,Marketing,Female,Junior,Research Scientist,Divorced,28040,0,19,2,3,0,2,2,2
6.2,56,Very High,Medium,Better,High,Good,33,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Male,Intermediate,Research Director,Married,193920,6,12,1,12,3,10,8,8
10.3,57,High,Low,Better,High,Outstanding,39,No,Travel_Rarely,Sales,1,Master,Life Sciences,Male,Junior,Sales Executive,Married,196650,1,22,1,21,6,21,11,10
6.7,58,High,Very High,Better,High,Good,43,No,Travel_Frequently,Research & Development,7,Master,Medical,Male,Intermediate,Research Scientist,Single,24390,0,15,0,9,2,8,1,7
9.3,59,High,High,Better,High,Outstanding,49,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Intermediate,Manufacturing Director,Single,73140,7,22,0,25,2,7,0,7
7.2,60,High,Medium,Good,High,Good,52,Yes,Travel_Rarely,Research & Development,7,Below College,Life Sciences,Female,Junior,Research Scientist,Married,47740,2,18,1,11,2,8,7,7
10,61,High,Medium,Good,High,Outstanding,27,No,Travel_Rarely,Research & Development,15,Master,Medical,Male,Intermediate,Research Scientist,Single,39020,1,22,0,4,2,4,1,2
9.6,62,High,Medium,Better,Very High,Good,32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Intermediate,Research Scientist,Married,26620,1,11,1,13,6,13,11,9
8.9,63,Very High,High,Better,Very High,Good,27,No,Travel_Rarely,Research & Development,13,College,Medical,Female,Intermediate,Research Director,Single,28560,1,12,2,5,5,5,0,4
6.2,64,Very High,Very High,Better,Very High,Good,31,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,Male,Junior,Healthcare Representative,Divorced,10810,4,11,3,13,4,7,1,7
6.8,65,Low,Very High,Good,High,Good,32,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,Male,Junior,Healthcare Representative,Single,24720,7,13,0,10,2,7,0,7
10.2,66,Low,Very High,Good,Medium,Good,28,Yes,Travel_Rarely,Research & Development,9,Master,Medical,Male,Junior,Sales Executive,Married,56730,5,14,1,5,4,3,2,2
5.5,67,Very High,Very High,Better,High,Good,30,No,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,Female,Intermediate,Research Director,Married,41970,1,13,0,11,3,10,1,9
5.7,68,High,High,Better,Medium,Good,31,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Female,Junior,Manager,Married,97130,1,17,0,10,5,10,8,9
5.3,69,High,Very High,Better,High,Good,39,No,Travel_Frequently,Research & Development,19,Master,Medical,Female,Junior,Research Scientist,Married,20620,1,13,0,21,4,21,13,3
9.4,70,Very High,High,Good,High,Good,39,Yes,Travel_Rarely,Research & Development,1,Below College,Medical,Female,Junior,Laboratory Technician,Married,42840,4,17,1,12,0,1,0,0
6.9,71,Medium,Very High,Good,High,Good,33,No,Travel_Frequently,Sales,4,College,Life Sciences,Male,Intermediate,Research Scientist,Single,47880,3,11,1,9,0,7,0,1
6,72,Very High,High,Better,Very High,Outstanding,47,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,Female,Junior,Healthcare Representative,Married,59060,4,23,0,21,4,3,1,1
5.7,73,High,High,Best,High,Good,43,No,Travel_Frequently,Research & Development,14,Bachelor,Medical,Female,Senior,Research Director,Divorced,38860,1,17,2,9,2,9,0,0
8.2,74,High,Medium,Better,High,Good,27,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,Junior,Research Director,Married,168230,0,17,0,6,3,5,1,4
5.4,75,Very High,High,Good,High,Good,54,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,Male,Junior,Research Scientist,Single,29330,3,12,2,20,2,4,0,3
6.6,76,High,Low,Good,High,Outstanding,43,No,Travel_Rarely,Research & Development,7,College,Life Sciences,Female,Junior,Manager,Married,65000,8,23,0,10,3,1,0,0
6.6,77,Very High,Very High,Better,High,Good,45,No,Travel_Rarely,Sales,3,Below College,Marketing,Female,Junior,Sales Executive,Married,171740,9,14,1,12,6,10,9,8
8.8,78,Medium,Very High,Good,High,Good,40,No,Travel_Rarely,Research & Development,2,Master,Other,Male,Intermediate,Research Scientist,Married,50330,2,14,2,6,6,4,0,2
9.2,79,Medium,Low,Good,High,Good,29,Yes,Travel_Rarely,Research & Development,29,Bachelor,Medical,Female,Junior,Research Scientist,Married,23070,1,13,1,7,0,7,0,7
6.3,80,Medium,Very High,Better,High,Outstanding,29,No,Travel_Rarely,Human Resources,8,Bachelor,Medical,Male,Intermediate,Sales Representative,Single,25870,0,22,2,4,3,3,2,2
6.7,81,Very High,High,Better,Medium,Good,30,No,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,Male,Junior,Research Scientist,Divorced,55070,1,12,2,10,2,10,1,2
5.7,82,Medium,Medium,Better,Medium,Good,27,No,Travel_Rarely,Research & Development,11,College,Medical,Male,Junior,Manager,Married,43930,1,18,1,8,2,8,0,7
5.4,83,Very High,Very High,Good,High,Good,37,No,Travel_Rarely,Sales,1,Master,Life Sciences,Male,Junior,Healthcare Representative,Divorced,133480,7,14,0,8,4,6,0,4
8.3,84,High,Very High,Better,High,Good,38,No,Travel_Rarely,Research & Development,28,Master,Medical,Male,Junior,Laboratory Technician,Divorced,65830,0,12,0,12,1,11,2,9
9.5,85,High,Very High,Better,High,Good,31,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,Female,Intermediate,Manager,Single,81030,1,15,1,11,5,11,4,10
7.8,86,Very High,Medium,Better,High,Good,29,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,Intermediate,Sales Executive,Divorced,39780,1,11,0,7,0,7,1,7
7.1,87,High,Medium,Better,Very High,Good,35,No,Travel_Rarely,Sales,16,College,Technical Degree,Male,Intermediate,Manager,Single,25440,0,13,1,17,3,16,0,13
6.5,88,High,Very High,Good,Medium,Outstanding,23,No,Travel_Rarely,Research & Development,20,Master,Life Sciences,Male,Junior,Manufacturing Director,Divorced,53990,1,23,0,4,2,4,0,2
8.9,89,Very High,Medium,Better,High,Good,41,No,Travel_Rarely,Research & Development,9,College,Life Sciences,Female,Junior,Laboratory Technician,Single,54870,6,19,2,8,0,5,1,2
7.1,90,Medium,High,Better,Very High,Good,47,No,Travel_Frequently,Sales,1,Bachelor,Medical,Female,Junior,Laboratory Technician,Single,68340,3,16,1,5,2,0,0,0
5.7,91,Low,Very High,Better,Low,Outstanding,42,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,Junior,Manager,Single,10910,2,22,0,16,0,1,0,0
5.6,92,Very High,High,Good,Medium,Outstanding,29,No,Non-Travel,Sales,22,Master,Marketing,Male,Junior,Human Resources,Married,57360,1,22,0,4,1,4,0,2
7.7,93,High,High,Better,Medium,Good,42,No,Travel_Rarely,Sales,7,Master,Medical,Male,Intermediate,Research Scientist,Divorced,22260,0,12,1,4,3,3,1,0
6.8,94,High,Medium,Better,High,Good,32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,Male,Junior,Research Scientist,Married,57470,1,13,0,8,0,8,0,7
6.5,95,Low,High,Bad,Medium,Good,48,No,Travel_Rarely,Sales,13,Master,Medical,Male,Intermediate,Sales Executive,Married,98540,3,16,1,15,2,0,0,0
10.2,96,High,Low,Better,High,Good,37,No,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,Male,Junior,Manufacturing Director,Divorced,54670,4,12,0,13,2,7,6,7
9.8,97,Very High,High,Best,High,Outstanding,30,No,Non-Travel,Sales,25,Master,Other,Male,Junior,Healthcare Representative,Married,53800,7,21,1,4,0,2,2,2
5.6,98,High,High,Better,High,Good,26,No,Travel_Rarely,Sales,28,Bachelor,Medical,Female,Senior,Laboratory Technician,Married,51510,1,15,3,8,3,8,7,7
5.6,99,Low,Very High,Better,High,Good,42,No,Travel_Rarely,Sales,2,College,Medical,Female,Junior,Laboratory Technician,Single,21330,3,13,2,14,2,1,0,0
7.6,100,Low,Medium,Better,Medium,Good,21,Yes,Travel_Frequently,Research & Development,9,Bachelor,Medical,Female,Intermediate,Manufacturing Director,Single,178750,1,12,0,3,5,3,1,2
6.5,101,Very High,Very High,Better,Low,Outstanding,36,No,Non-Travel,Human Resources,28,Bachelor,Human Resources,Male,Junior,Laboratory Technician,Single,24320,4,22,0,7,4,1,0,0
6.5,102,Low,Very High,Better,High,Good,36,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,Female,Junior,Research Scientist,Married,47710,4,13,1,16,2,13,1,12
5.7,103,Very High,High,Better,Low,Good,57,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,Male,Senior,Research Scientist,Married,191610,2,18,0,15,2,3,1,2
7.3,104,Very High,High,Better,High,Good,40,No,Travel_Rarely,Research & Development,8,Bachelor,Other,Male,Junior,Sales Executive,Married,50870,3,14,1,10,3,7,1,7
7,105,Low,Very High,Good,Low,Good,21,No,Non-Travel,Research & Development,1,Doctor,Life Sciences,Female,Junior,Manager,Single,28630,1,14,0,3,2,3,2,2
9.3,106,Very High,High,Better,Low,Outstanding,33,Yes,Travel_Rarely,Human Resources,28,College,Human Resources,Female,Senior,Manager,Single,55610,1,21,1,1,3,1,0,0
7.1,107,High,Low,Better,Very High,Good,37,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,Male,Intermediate,Research Scientist,Married,21440,6,19,0,17,3,5,0,3
5.3,108,High,High,Best,High,Good,46,No,Non-Travel,Sales,2,Master,Marketing,Female,Junior,Laboratory Technician,Married,30650,2,11,0,7,3,1,0,0
6.8,109,Low,Medium,Better,Very High,Good,41,Yes,Travel_Frequently,Research & Development,16,Below College,Medical,Female,Junior,Research Scientist,Single,28100,1,11,0,8,3,8,7,7
6.1,110,Very High,Very High,Better,High,Good,50,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,Intermediate,Laboratory Technician,Single,98880,6,15,0,20,2,4,1,3
8.3,111,High,High,Better,Medium,Outstanding,40,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,Female,Junior,Healthcare Representative,Married,86280,2,20,0,8,2,6,1,0
10.2,112,High,Medium,Better,High,Outstanding,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,Intermediate,Human Resources,Single,28670,0,24,0,3,5,2,2,2
5.3,113,High,Medium,Better,High,Good,21,Yes,Travel_Rarely,Human Resources,10,College,Human Resources,Male,Junior,Laboratory Technician,Single,53730,1,12,1,1,2,1,0,0
7.3,114,Very High,Very High,Better,Very High,Good,29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,Junior,Research Director,Single,66670,9,12,1,6,6,3,1,2
7,115,High,Medium,Better,High,Good,35,No,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,Female,Intermediate,Sales Executive,Single,50030,9,15,0,10,2,1,0,0
5.5,116,Very High,Medium,Better,High,Good,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,Male,Junior,Sales Executive,Divorced,23670,,12,1,5,2,5,0,4
6.3,117,Medium,Very High,Better,Medium,Good,28,No,Travel_Rarely,Research & Development,2,College,Medical,Male,Intermediate,Manager,Single,28580,1,12,0,7,2,7,0,7
7.2,118,Medium,High,Better,High,Good,49,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,Male,Junior,Manufacturing Director,Single,52040,8,14,1,26,3,5,0,0
6.7,119,High,Very High,Good,High,Outstanding,51,No,Travel_Rarely,Research & Development,1,College,Life Sciences,Male,Junior,Sales Executive,Married,41050,4,22,1,18,2,7,0,7
5.4,120,Very High,High,Better,High,Good,36,No,Travel_Rarely,Sales,15,College,Life Sciences,Male,Junior,Sales Executive,Married,96790,4,12,0,6,1,2,2,2
8.2,121,Low,Very High,Good,High,Outstanding,34,Yes,Non-Travel,Research & Development,7,Bachelor,Life Sciences,Male,Junior,Sales Representative,Single,56170,8,25,1,9,3,5,0,4
7.9,122,High,Very High,Better,High,Good,55,No,Travel_Rarely,Sales,26,Bachelor,Marketing,Male,Junior,Laboratory Technician,Single,104480,2,13,0,30,3,5,1,2
8.8,123,Very High,High,Best,High,Good,24,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,Senior,Manager,Divorced,28970,1,18,3,5,4,5,0,3
6.1,124,High,Medium,Better,High,Good,30,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Female,Junior,Manager,Married,59680,1,13,0,1,3,1,0,0
6.4,125,High,High,Better,High,Good,26,Yes,Travel_Frequently,Sales,14,Bachelor,Life Sciences,Male,Junior,Manager,Single,75100,0,18,3,7,3,6,0,4
5.6,126,Low,Medium,Better,Medium,Good,22,No,Travel_Rarely,Research & Development,16,Doctor,Other,Male,Junior,Research Scientist,Married,29910,1,19,2,2,3,2,1,2
5.8,127,Medium,High,Better,High,Good,36,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,Female,Senior,Healthcare Representative,Married,196360,1,12,1,10,3,10,9,0
7.5,128,High,Very High,Better,Medium,Good,30,Yes,Travel_Frequently,Sales,3,College,Marketing,Male,Intermediate,Research Scientist,Single,11290,9,19,0,3,2,1,0,0
5.9,129,Very High,Low,Good,High,Good,37,No,Travel_Rarely,Research & Development,10,Below College,Technical Degree,Male,Junior,Sales Executive,Divorced,133410,1,14,1,18,3,18,12,17
5.9,130,Very High,Medium,Better,Medium,Good,40,No,Travel_Rarely,Research & Development,6,College,Medical,Male,Intermediate,Research Scientist,Divorced,43320,7,14,2,8,3,5,1,3
6.7,131,Medium,Low,Better,Medium,Good,42,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,Female,Intermediate,Manager,Divorced,110310,3,12,1,8,2,5,1,2
9.3,132,High,Medium,Good,Medium,Good,37,No,Travel_Rarely,Sales,9,Below College,Marketing,Male,Intermediate,Sales Executive,Single,44400,2,11,1,18,3,1,0,1
6.7,133,Low,Medium,Better,High,Good,43,No,Travel_Rarely,Sales,10,College,Life Sciences,Female,Junior,Sales Executive,Divorced,46170,1,11,0,25,2,25,3,9
6.8,134,Medium,High,Better,Medium,Good,40,No,Travel_Rarely,Sales,6,College,Life Sciences,Female,Junior,Laboratory Technician,Married,26470,6,13,0,20,2,1,0,0
5.2,135,Low,Low,Good,Medium,Outstanding,54,No,Travel_Rarely,Human Resources,9,Bachelor,Life Sciences,Female,Junior,Manufacturing Director,Married,63230,4,23,1,24,2,4,1,2
6.1,136,High,High,Better,High,Outstanding,34,No,Non-Travel,Research & Development,28,Bachelor,Medical,Male,Junior,Laboratory Technician,Married,56770,9,20,1,6,3,3,1,2
5.5,137,Medium,Low,Bad,Medium,Good,31,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,Male,Intermediate,Sales Executive,Married,21870,1,15,1,13,2,13,3,12
6.7,138,Very High,Very High,Better,Medium,Good,43,No,Travel_Frequently,Sales,14,Bachelor,Life Sciences,Female,Junior,Manufacturing Director,Married,37480,7,14,2,,3,3,1,2
8.1,139,High,High,Better,High,Good,43,No,Travel_Rarely,Sales,27,Master,Life Sciences,Male,Junior,Sales Representative,Divorced,39770,4,18,1,8,3,5,0,2
9.7,140,Medium,Very High,Better,Very High,Good,25,No,Travel_Rarely,Human Resources,7,College,Human Resources,Male,Junior,Manufacturing Director,Single,86330,1,19,1,5,2,5,1,3
9.5,141,Medium,High,Better,Medium,Outstanding,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,Male,Intermediate,Laboratory Technician,Married,20080,3,22,0,15,5,13,10,7
6.3,142,Very High,Low,Better,High,Good,31,No,Travel_Rarely,Research & Development,24,Below College,Medical,Male,Intermediate,Laboratory Technician,Married,44400,1,13,1,4,2,4,3,2
8.5,143,Medium,High,Better,Low,Outstanding,39,No,Travel_Frequently,Research & Development,26,Master,Technical Degree,Female,Junior,Sales Executive,Divorced,30670,1,20,1,21,5,21,1,6
6.8,144,High,Low,Good,High,Good,56,No,Travel_Frequently,Research & Development,20,Master,Life Sciences,Female,Intermediate,Sales Executive,Married,53210,9,14,0,36,1,7,7,7
7.1,145,Medium,High,Better,High,Good,30,No,Travel_Rarely,Sales,5,Master,Medical,Female,Junior,Manufacturing Director,Single,54100,0,17,1,6,2,5,4,4
6.1,146,Medium,Low,Better,Medium,Good,41,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,Female,Intermediate,Research Scientist,Married,27820,1,14,0,10,2,10,0,7
5.6,147,High,Low,Better,Medium,Good,28,No,Travel_Rarely,Research & Development,7,Bachelor,Medical,Male,Intermediate,Healthcare Representative,Divorced,119570,1,13,0,10,2,10,1,8
5.9,148,Low,Low,Better,High,Good,25,Yes,Travel_Rarely,Research & Development,5,College,Life Sciences,Female,Intermediate,Laboratory Technician,Married,26600,5,13,0,6,3,2,0,2
7.6,149,Very High,High,Better,Medium,Outstanding,52,No,Travel_Rarely,Research & Development,26,College,Life Sciences,Female,Junior,Sales Representative,Married,33750,2,21,0,28,2,5,0,4
6.2,150,Low,Very High,Good,High,Good,45,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,Female,Junior,Sales Executive,Married,50980,3,14,1,8,4,2,0,2
6.6,151,Very High,Very High,Bad,High,Good,52,No,Travel_Rarely,Research & Development,12,Bachelor,Medical,Male,Junior,Research Scientist,Married,48780,2,11,1,31,3,5,1,4
